sender_account,sender_name,receiver_account,receiver_name,amount,date,ifsc
XXXX4257,Ishaan Patel,XXXX9928,Tara Konda,436864,2025-12-31,JLBJGBAH
XXXX5010,Waida Barman,XXXX4257,Ishaan Patel,379107,2025-11-07,ORJEGBNO
XXXX1750,Rehaan Bahl,XXXX4657,Ryan Thaker,216408,2026-04-25,XBZQGBVE
XXXX3045,Arin Lata,XXXX7924,Atharv Lal,233888,2026-02-17,XCFNGBMB
XXXX5010,Waida Barman,XXXX2674,Varenya Bajaj,395469,2026-06-20,ZECPGBBB
XXXX1750,Rehaan Bahl,XXXX3615,Jagvi Mukherjee,280975,2026-06-16,BVJGGB54
XXXX7924,Atharv Lal,XXXX7224,Yagnesh Om,424951,2025-10-15,HEYUGBU5
XXXX2307,Timothy Dutt,XXXX4611,Zashil Balasubramanian,193854,2025-10-17,IYKRGBTC
XXXX5374,Advaith Yadav,XXXX1750,Rehaan Bahl,243053,2025-12-24,BBTTGBSJ
XXXX2674,Varenya Bajaj,XXXX2291,Nitara Handa,264667,2025-12-22,PDBCGB76
XXXX6977,Fiyaz Wali,XXXX6925,Udarsh Singhal,85965,2025-10-08,TSCHGB6B
XXXX4611,Zashil Balasubramanian,XXXX3803,Hema Srivastava,73560,2025-12-20,GOIQGB6Z
XXXX5552,Lakshit Luthra,XXXX2679,Anita Padmanabhan,337162,2025-09-06,RMGNGB6J
XXXX2307,Timothy Dutt,XXXX3045,Arin Lata,291739,2026-01-31,XRGSGBLQ
XXXX1488,Indrajit Pillay,XXXX6977,Fiyaz Wali,447256,2026-08-18,VYLIGBI5
XXXX4582,Rachit Walla,XXXX2674,Varenya Bajaj,44974,2026-03-29,KBSKGBPJ
XXXX4257,Ishaan Patel,XXXX4527,Radhika Brahmbhatt,236572,2026-01-12,KITEGB3S
XXXX5554,Kritika Buch,XXXX1434,Urmi Sinha,436707,2026-01-21,XVXFGBXF
XXXX4150,Yashodhara Nadig,XXXX7912,Shravya Rattan,497193,2026-03-06,PMZUGBF7
XXXX3615,Jagvi Mukherjee,XXXX1750,Rehaan Bahl,464800,2025-09-24,CPNUGB5X
XXXX8527,Keya Chauhan,XXXX5506,Onkar Mani,218525,2026-07-08,YBLJGBB4
XXXX2679,Anita Padmanabhan,XXXX5803,Charita Chowdhury,264196,2026-03-14,VJZNGB6C
XXXX3045,Arin Lata,XXXX7924,Atharv Lal,203462,2025-11-08,UJWGGB0L
XXXX7912,Shravya Rattan,XXXX3045,Arin Lata,118722,2026-03-18,LMVRGBDJ
XXXX5506,Onkar Mani,XXXX6881,Darpan Naik,489020,2025-10-29,VWGUGBGQ
XXXX1488,Indrajit Pillay,XXXX5333,Gautam Narula,415911,2025-12-26,NFNQGBVK
XXXX1434,Urmi Sinha,XXXX9279,Abhiram Varghese,21081,2026-03-04,QUFEGBLJ
XXXX2674,Varenya Bajaj,XXXX2307,Timothy Dutt,365942,2026-06-10,FYZKGBH4
XXXX9279,Abhiram Varghese,XXXX2307,Timothy Dutt,236196,2026-05-21,KNDMGBXS
XXXX5010,Waida Barman,XXXX2824,Damini Srinivasan,475930,2026-04-16,MYWGGBD8
XXXX7912,Shravya Rattan,XXXX5506,Onkar Mani,135177,2026-03-21,VSZPGB0F
XXXX5557,Bachittar Kumer,XXXX1434,Urmi Sinha,288731,2026-04-15,FFMBGB4K
XXXX3803,Hema Srivastava,XXXX6977,Fiyaz Wali,222907,2026-02-25,SQFRGBWE
XXXX4582,Rachit Walla,XXXX2674,Varenya Bajaj,125591,2026-06-13,GZPLGBVU
XXXX7224,Yagnesh Om,XXXX4582,Rachit Walla,26034,2026-07-07,NGQUGBRM
XXXX7924,Atharv Lal,XXXX6925,Udarsh Singhal,335994,2026-08-21,DFNNGBFL
XXXX5010,Waida Barman,XXXX4733,Triya Sathe,33929,2026-04-26,ZVNCGBU3
XXXX4582,Rachit Walla,XXXX2654,Quincy Wali,313863,2026-06-07,XLTYGBC3
XXXX7065,Ekaja Verma,XXXX5506,Onkar Mani,332326,2026-08-05,MAPMGBAA
XXXX5554,Kritika Buch,XXXX5374,Advaith Yadav,127845,2026-08-18,UPJBGBG2
XXXX1434,Urmi Sinha,XXXX2674,Varenya Bajaj,226044,2026-06-20,RIIBGBXS
XXXX2824,Damini Srinivasan,XXXX5010,Waida Barman,185977,2026-05-16,EOEOGB2E
XXXX7924,Atharv Lal,XXXX5374,Advaith Yadav,219401,2026-04-21,KKQEGBME
XXXX9928,Tara Konda,XXXX7912,Shravya Rattan,275456,2026-08-11,EDESGBTQ
XXXX3045,Arin Lata,XXXX9935,Bachittar Rastogi,276806,2025-12-05,VQJTGB4N
XXXX7065,Ekaja Verma,XXXX5554,Kritika Buch,413306,2025-12-21,CIONGBLL
XXXX5554,Kritika Buch,XXXX4432,Deepa Wali,11661,2025-10-05,CGWBGBTI
XXXX2291,Nitara Handa,XXXX2307,Timothy Dutt,23824,2026-03-22,RGHYGB56
XXXX2291,Nitara Handa,XXXX3045,Arin Lata,133985,2026-01-03,SKTLGBFJ
XXXX5506,Onkar Mani,XXXX8527,Keya Chauhan,414411,2026-02-16,NRQDGBLF
XXXX9935,Bachittar Rastogi,XXXX8527,Keya Chauhan,127419,2026-04-29,YRGOGBTT
XXXX1488,Indrajit Pillay,XXXX2169,Gaurika Deshmukh,386449,2025-11-13,CUEDGB8G
XXXX5333,Gautam Narula,XXXX9279,Abhiram Varghese,24244,2026-07-23,HZDRGBT6
XXXX8527,Keya Chauhan,XXXX7065,Ekaja Verma,178496,2025-11-29,NLIVGBHP
XXXX9928,Tara Konda,XXXX4733,Triya Sathe,365584,2026-07-10,ASJKGBEZ
XXXX2307,Timothy Dutt,XXXX9928,Tara Konda,426458,2026-05-01,KQLPGBFU
XXXX9279,Abhiram Varghese,XXXX9935,Bachittar Rastogi,376413,2025-10-31,JCJPGB0P
XXXX4733,Triya Sathe,XXXX4657,Ryan Thaker,154848,2025-09-28,KGRAGBE3
XXXX4611,Zashil Balasubramanian,XXXX4657,Ryan Thaker,415769,2025-10-27,XODEGBYI
XXXX4611,Zashil Balasubramanian,XXXX4657,Ryan Thaker,166463,2026-03-05,MTEZGBD8
XXXX7224,Yagnesh Om,XXXX5554,Kritika Buch,209784,2025-11-14,EZGAGBC2
XXXX7065,Ekaja Verma,XXXX2307,Timothy Dutt,133809,2026-08-23,BTISGB5Q
XXXX4657,Ryan Thaker,XXXX4611,Zashil Balasubramanian,151004,2025-11-14,UQFWGBXZ
XXXX8527,Keya Chauhan,XXXX2679,Anita Padmanabhan,454927,2025-09-26,BPLMGBBP
XXXX5333,Gautam Narula,XXXX4527,Radhika Brahmbhatt,66260,2025-10-07,OFNHGBUJ
XXXX3045,Arin Lata,XXXX4150,Yashodhara Nadig,467347,2025-11-13,SJBQGBEB
XXXX5803,Charita Chowdhury,XXXX1750,Rehaan Bahl,470047,2025-12-07,PJRJGBE0
XXXX2291,Nitara Handa,XXXX5333,Gautam Narula,98946,2026-04-01,ACQEGBBD
XXXX2654,Quincy Wali,XXXX3045,Arin Lata,485604,2026-03-05,OUMDGBJ0
XXXX6977,Fiyaz Wali,XXXX4527,Radhika Brahmbhatt,421032,2025-12-17,NHGLGBEJ
XXXX7912,Shravya Rattan,XXXX4150,Yashodhara Nadig,42380,2025-09-27,TACLGB5S
XXXX4150,Yashodhara Nadig,XXXX3803,Hema Srivastava,432143,2026-07-07,YFZUGB5W
XXXX9928,Tara Konda,XXXX7065,Ekaja Verma,155018,2025-12-16,TKJMGBL2
XXXX6881,Darpan Naik,XXXX1488,Indrajit Pillay,42979,2026-03-31,GDRQGB8D
XXXX6881,Darpan Naik,XXXX2674,Varenya Bajaj,161692,2026-02-21,QBFVGB2R
XXXX1750,Rehaan Bahl,XXXX3803,Hema Srivastava,377262,2026-06-22,GXRPGBPI
XXXX4150,Yashodhara Nadig,XXXX4257,Ishaan Patel,362635,2025-08-29,DOJLGBTA
XXXX1750,Rehaan Bahl,XXXX8527,Keya Chauhan,235424,2025-09-01,MXRRGBVH
XXXX4657,Ryan Thaker,XXXX8527,Keya Chauhan,323359,2026-06-22,XYRWGB3J
XXXX4150,Yashodhara Nadig,XXXX4527,Radhika Brahmbhatt,336266,2025-11-28,RSHOGBOE
XXXX2679,Anita Padmanabhan,XXXX9935,Bachittar Rastogi,352893,2025-11-07,MCCSGBS0
XXXX5803,Charita Chowdhury,XXXX3045,Arin Lata,270004,2026-05-28,IWAFGBLT
XXXX4257,Ishaan Patel,XXXX5506,Onkar Mani,75857,2026-08-15,EFLVGBA2
XXXX3803,Hema Srivastava,XXXX1750,Rehaan Bahl,19244,2026-04-26,YSSYGBQZ
XXXX9279,Abhiram Varghese,XXXX9935,Bachittar Rastogi,124729,2025-11-05,DLDMGBIG
XXXX3045,Arin Lata,XXXX2291,Nitara Handa,498794,2026-01-27,XLEWGBP3
XXXX5374,Advaith Yadav,XXXX4657,Ryan Thaker,318243,2026-06-17,VNJCGBST
XXXX1434,Urmi Sinha,XXXX1750,Rehaan Bahl,498456,2025-09-08,IOQGGB4E
XXXX3045,Arin Lata,XXXX1750,Rehaan Bahl,401076,2026-02-11,LLGMGBNE
XXXX9935,Bachittar Rastogi,XXXX5374,Advaith Yadav,73191,2026-01-11,UFOCGBIR
XXXX6977,Fiyaz Wali,XXXX3045,Arin Lata,209684,2025-12-23,KVLLGB0M
XXXX6881,Darpan Naik,XXXX4527,Radhika Brahmbhatt,131868,2026-01-12,WTGTGB57
XXXX4582,Rachit Walla,XXXX5506,Onkar Mani,386705,2026-06-01,OHZHGBOG
XXXX9928,Tara Konda,XXXX2654,Quincy Wali,272447,2025-09-18,HZFSGBYD
XXXX2291,Nitara Handa,XXXX4432,Deepa Wali,62740,2026-08-20,LQNQGB9G
XXXX5552,Lakshit Luthra,XXXX1750,Rehaan Bahl,113496,2026-03-05,BZBNGBHR
XXXX5010,Waida Barman,XXXX2674,Varenya Bajaj,364845,2025-10-31,HIGDGB4M
XXXX2654,Quincy Wali,XXXX4611,Zashil Balasubramanian,65297,2026-04-06,QSPWGBG3
XXXX9279,Abhiram Varghese,XXXX9935,Bachittar Rastogi,238000,2025-10-16,FALKGB46
XXXX9928,Tara Konda,XXXX1750,Rehaan Bahl,47027,2025-12-20,JUWXGBYR
XXXX6881,Darpan Naik,XXXX8527,Keya Chauhan,373003,2026-08-13,NRFGGB42
XXXX9935,Bachittar Rastogi,XXXX4432,Deepa Wali,285253,2025-11-08,LCADGBSP
XXXX2674,Varenya Bajaj,XXXX7224,Yagnesh Om,447358,2026-04-07,VSZZGBVU
XXXX4257,Ishaan Patel,XXXX9928,Tara Konda,417125,2026-01-09,IFPJGBRR
XXXX3045,Arin Lata,XXXX5554,Kritika Buch,118567,2026-03-04,HCZWGBBM
XXXX4582,Rachit Walla,XXXX4611,Zashil Balasubramanian,416270,2026-01-15,IZJEGBWA
XXXX9279,Abhiram Varghese,XXXX7924,Atharv Lal,415383,2026-08-22,MUYSGBCQ
