caller_number,receiver_number,timestamp,duration_sec,tower_location
+919208283728,+918196342297,2026-05-19 00:49:54,463,Haridwar
+917429416213,+917469306919,2026-06-25 18:41:11,322,Tumkur
+917033599984,+917027911967,2026-06-24 05:30:28,634,Bhiwandi
+917390452952,+918948728483,2026-06-08 03:39:04,686,Bhiwandi
+918354860540,+919927923735,2026-05-14 18:33:45,187,Shimoga
+917438989805,+918354860540,2026-04-20 11:24:40,12,Panchkula
+918196342297,+918049193572,2026-07-22 08:24:04,491,Haridwar
+917113971123,+918652563013,2026-06-29 09:46:17,305,Haridwar
+917063384488,+917438989805,2026-04-28 16:08:20,713,Hosur
+918948728483,+917429416213,2026-08-05 14:16:49,687,Hosur
+917469306919,+917433797840,2026-03-25 00:13:10,567,Hosur
+918985392498,+919744267175,2026-07-30 23:11:21,856,Kottayam
+917438989805,+917027911967,2026-07-23 18:15:35,179,Haridwar
+918049193572,+917562117925,2026-08-12 03:23:01,305,Faridabad
+917433797840,+917063384488,2026-05-26 12:14:00,715,Haridwar
+919030106617,+919744267175,2026-07-16 04:17:56,522,Shimoga
+918816803306,+918196342297,2026-08-13 20:17:29,92,Tumkur
+917113971123,+917469306919,2026-09-12 01:28:39,762,Maheshtala
+918049193572,+918948728483,2026-06-15 10:48:02,36,Bhiwandi
+918652563013,+917562117925,2026-03-23 19:11:13,611,Nizamabad
+919744267175,+917562117925,2026-06-16 17:17:58,51,Kottayam
+918722454917,+917244295904,2026-07-02 18:17:48,677,Faridabad
+919744267175,+918699226064,2026-08-22 18:43:41,609,Panchkula
+918816803306,+918973214822,2026-08-23 14:23:48,491,Maheshtala
+918521696479,+918338811290,2026-06-05 09:46:33,338,Bhiwandi
+918354860540,+918338811290,2026-06-21 00:56:29,431,Faridabad
+917002456273,+919030106617,2026-06-08 10:35:15,843,Shimoga
+917113971123,+917063384488,2026-07-26 21:40:26,100,Maheshtala
+918948728483,+919361388464,2026-05-30 20:55:35,128,Panchkula
+917261810763,+919746317213,2026-07-14 13:16:47,683,Shimoga
+917063384488,+918521696479,2026-04-14 05:11:58,65,Hosur
+917244295904,+917030884438,2026-06-10 17:37:03,647,Faridabad
+918196342297,+917027911967,2026-09-09 22:36:01,218,Haridwar
+919427631155,+919878380452,2026-05-17 20:05:02,304,Faridabad
+918816803306,+917433797840,2026-07-21 11:24:07,39,Tumkur
+919927923735,+918354860540,2026-07-13 15:37:11,328,Shimoga
+919746317213,+919427631155,2026-08-19 12:09:50,427,Bhiwandi
+918652563013,+917433797840,2026-08-19 14:41:15,482,Bhiwandi
+918985392498,+918816803306,2026-08-20 21:21:16,743,Haridwar
+917261810763,+919744267175,2026-05-25 09:38:48,435,Faridabad
+918722454917,+919927923735,2026-05-13 20:09:04,477,Shimoga
+918985392498,+919208283728,2026-07-26 05:21:02,205,Tumkur
+917261810763,+919878380452,2026-08-02 15:34:03,894,Bhiwandi
+919744267175,+918521696479,2026-08-23 06:28:46,358,Shimoga
+919744267175,+919746317213,2026-03-23 14:16:43,299,Haridwar
+917429416213,+918816803306,2026-03-29 12:44:20,896,Kottayam
+918196342297,+917514909066,2026-07-10 05:48:41,505,Maheshtala
+918338811290,+919427631155,2026-09-01 03:08:05,791,Shimoga
+919208283728,+917063384488,2026-09-15 02:13:39,339,Hosur
+919927923735,+917562117925,2026-07-31 08:13:06,402,Hosur
+918521696479,+917113971123,2026-06-04 06:01:36,335,Faridabad
+919208283728,+918985392498,2026-04-04 00:15:05,517,Nizamabad
+919878380452,+917261810763,2026-07-10 17:08:34,614,Maheshtala
+919479708607,+918196342297,2026-08-23 07:20:21,112,Shimoga
+917063384488,+919746317213,2026-06-06 00:32:54,749,Kottayam
+918521696479,+918985392498,2026-07-21 17:04:53,86,Faridabad
+918948728483,+918338811290,2026-08-28 22:27:15,648,Panchkula
+918973214822,+918338811290,2026-03-25 10:29:09,882,Shimoga
+919208283728,+919361388464,2026-08-09 08:30:49,651,Faridabad
+917514909066,+917113971123,2026-05-09 14:06:54,642,Bhiwandi
+919927923735,+917002456273,2026-05-24 11:00:26,242,Bhiwandi
+917469306919,+919479708607,2026-04-12 14:41:20,788,Bhiwandi
+918196342297,+918354860540,2026-06-21 23:47:12,720,Haridwar
+917373399426,+917113971123,2026-06-28 08:03:35,342,Nizamabad
+917002456273,+917965067727,2026-08-08 16:38:20,393,Panchkula
+918985392498,+919927923735,2026-04-17 01:37:59,553,Panchkula
+917562117925,+918699226064,2026-03-31 10:56:33,184,Kottayam
+918973214822,+917033599984,2026-08-22 23:43:07,401,Tumkur
+919927923735,+918816803306,2026-07-08 03:39:07,607,Kottayam
+918652563013,+917063384488,2026-04-29 23:58:24,663,Haridwar
+917063384488,+918948728483,2026-08-30 15:39:09,692,Nizamabad
+917063384488,+917002456273,2026-04-12 03:56:51,703,Shimoga
+918354860540,+917438989805,2026-06-09 05:04:52,462,Maheshtala
+917429416213,+918034535593,2026-05-02 09:33:57,664,Panchkula
+918948728483,+917063384488,2026-05-02 15:28:36,875,Haridwar
+919510777721,+919208283728,2026-03-18 18:11:18,883,Faridabad
+919479708607,+919927923735,2026-08-10 21:42:08,400,Tumkur
+917965067727,+917562117925,2026-08-28 12:45:11,312,Haridwar
+917373399426,+919030106617,2026-07-18 17:17:03,291,Nizamabad
+917562117925,+917027911967,2026-04-14 21:01:56,630,Faridabad
+917002456273,+918652563013,2026-06-05 16:00:42,631,Maheshtala
+918652563013,+919510777721,2026-05-19 02:45:59,645,Haridwar
+919878380452,+919479708607,2026-07-02 06:52:09,652,Nizamabad
+918034535593,+918196342297,2026-07-11 15:52:53,44,Tumkur
+917030884438,+919878380452,2026-06-02 11:42:00,102,Haridwar
+919361388464,+918521696479,2026-05-01 16:34:24,189,Hosur
+919878380452,+917514909066,2026-08-18 07:51:36,384,Shimoga
+917261810763,+919744267175,2026-04-22 09:41:21,860,Kottayam
+918948728483,+918722454917,2026-05-26 06:09:51,835,Haridwar
+918338811290,+917433797840,2026-06-13 05:42:23,489,Bhiwandi
+918985392498,+918652563013,2026-04-29 08:05:53,890,Panchkula
+919427631155,+917030884438,2026-06-29 10:19:09,102,Panchkula
+919746317213,+918948728483,2026-06-29 22:58:31,559,Bhiwandi
+917063384488,+917030884438,2026-09-14 05:29:27,698,Haridwar
+917429416213,+919208283728,2026-05-09 22:16:32,852,Maheshtala
+919479708607,+918652563013,2026-09-11 12:53:22,492,Nizamabad
+917033599984,+919427631155,2026-07-15 04:23:09,345,Tumkur
+918652563013,+917438989805,2026-05-06 03:22:44,660,Faridabad
+918034535593,+918521696479,2026-06-28 08:03:50,129,Kottayam
+917113971123,+918034535593,2026-07-20 05:09:15,514,Bhiwandi
+919479708607,+919927923735,2026-07-30 23:01:49,560,Kottayam
+919208283728,+917063384488,2026-03-25 23:51:38,389,Shimoga
+918521696479,+917429416213,2026-07-05 17:22:29,770,Kottayam
+918521696479,+919479708607,2026-06-15 16:55:38,863,Faridabad
+917033599984,+918521696479,2026-08-29 01:39:27,296,Nizamabad
+917030884438,+917390452952,2026-05-08 06:41:27,464,Faridabad
+919927923735,+917030884438,2026-08-09 20:24:50,111,Maheshtala
+917514909066,+917965067727,2026-07-05 20:15:33,72,Panchkula
+919744267175,+919510777721,2026-05-20 08:21:29,135,Faridabad
+918973214822,+917390452952,2026-07-11 05:42:54,667,Tumkur
+917373399426,+917027911967,2026-07-08 08:49:28,815,Maheshtala
+919927923735,+919878380452,2026-07-18 17:57:25,815,Tumkur
+917390452952,+917438989805,2026-07-26 15:02:08,859,Shimoga
+917390452952,+917429416213,2026-07-15 08:33:17,231,Hosur
+918338811290,+918985392498,2026-08-17 01:20:32,817,Tumkur
+919746317213,+919744267175,2026-07-09 17:03:05,889,Kottayam
+919878380452,+917514909066,2026-08-28 22:21:54,266,Kottayam
+917433797840,+917373399426,2026-07-13 00:18:19,144,Nizamabad
+917965067727,+919927923735,2026-05-12 10:17:51,612,Maheshtala
+917373399426,+918699226064,2026-06-05 12:02:25,281,Nizamabad
+919878380452,+918521696479,2026-06-30 19:50:05,548,Bhiwandi
+917438989805,+918722454917,2026-07-28 17:06:38,469,Maheshtala
+917261810763,+917429416213,2026-04-02 11:51:02,121,Faridabad
+917261810763,+918652563013,2026-05-09 21:44:55,639,Nizamabad
+917244295904,+918034535593,2026-07-31 11:20:53,479,Nizamabad
+917027911967,+918722454917,2026-04-18 02:24:40,877,Panchkula
+917469306919,+919479708607,2026-04-10 03:56:48,512,Faridabad
+917438989805,+918973214822,2026-06-23 11:53:17,339,Tumkur
+918985392498,+917438989805,2026-09-10 08:36:50,139,Haridwar
+917033599984,+917429416213,2026-06-21 22:24:41,571,Maheshtala
+919208283728,+918049193572,2026-08-30 18:32:05,553,Haridwar
+917063384488,+917261810763,2026-08-15 14:53:31,629,Panchkula
+919479708607,+917433797840,2026-05-02 22:40:32,883,Shimoga
+917390452952,+917469306919,2026-08-14 13:33:38,472,Hosur
+918521696479,+918338811290,2026-06-12 23:44:53,857,Faridabad
+919030106617,+918521696479,2026-08-11 05:49:48,757,Bhiwandi
+919361388464,+917469306919,2026-07-31 07:18:41,330,Haridwar
+917030884438,+918985392498,2026-05-17 20:45:31,713,Faridabad
+917438989805,+918973214822,2026-04-07 01:31:18,861,Bhiwandi
+918973214822,+917469306919,2026-09-08 18:57:29,108,Maheshtala
+919878380452,+919427631155,2026-04-11 17:36:23,71,Tumkur
+919427631155,+918338811290,2026-09-09 10:45:29,696,Bhiwandi
+918521696479,+917965067727,2026-08-21 00:51:07,691,Panchkula
+917027911967,+917002456273,2026-07-27 05:26:24,624,Haridwar
+917965067727,+919479708607,2026-09-11 21:38:26,601,Shimoga
+917390452952,+918985392498,2026-09-09 14:07:44,682,Faridabad
+918652563013,+919479708607,2026-08-10 21:30:12,368,Shimoga
+917030884438,+917433797840,2026-05-22 19:17:37,790,Haridwar
+917562117925,+918652563013,2026-08-08 08:35:23,836,Panchkula
+919427631155,+917033599984,2026-03-19 13:59:37,638,Shimoga
+917373399426,+918049193572,2026-06-22 23:28:03,683,Haridwar
+917373399426,+918699226064,2026-06-08 01:12:15,289,Haridwar
+918338811290,+917965067727,2026-07-17 20:20:04,16,Kottayam
+918985392498,+917562117925,2026-07-17 18:11:55,683,Panchkula
+917438989805,+918985392498,2026-07-01 17:40:37,768,Nizamabad
+918973214822,+917244295904,2026-08-14 03:36:21,230,Panchkula
+918521696479,+917063384488,2026-09-04 15:57:11,359,Kottayam
+917030884438,+918034535593,2026-04-05 19:37:52,748,Maheshtala
+917562117925,+918049193572,2026-04-28 17:16:31,96,Nizamabad
+918985392498,+918354860540,2026-03-21 14:38:35,782,Tumkur
+917027911967,+918973214822,2026-08-25 10:23:46,288,Faridabad
+917469306919,+918816803306,2026-06-27 12:15:25,631,Faridabad
+918521696479,+919744267175,2026-08-31 02:17:00,230,Shimoga
+917433797840,+917965067727,2026-04-26 10:43:04,450,Bhiwandi
+917002456273,+917429416213,2026-03-28 13:56:39,508,Shimoga
+918034535593,+917113971123,2026-08-14 09:54:18,235,Panchkula
+918049193572,+917027911967,2026-08-30 00:34:39,17,Hosur
+918034535593,+917390452952,2026-05-11 04:45:40,795,Kottayam
+918948728483,+917002456273,2026-05-30 13:33:18,345,Bhiwandi
+919746317213,+918816803306,2026-04-11 13:18:49,774,Panchkula
+918699226064,+919878380452,2026-09-05 18:06:10,399,Shimoga
+918652563013,+917261810763,2026-05-11 14:17:10,582,Maheshtala
+917438989805,+919030106617,2026-06-14 22:57:20,892,Nizamabad
+917469306919,+917373399426,2026-04-03 18:46:15,480,Bhiwandi
+919361388464,+917562117925,2026-08-25 23:38:41,449,Tumkur
+919030106617,+918521696479,2026-04-10 19:17:49,306,Bhiwandi
+919030106617,+917373399426,2026-06-07 20:12:02,342,Kottayam
+917033599984,+917063384488,2026-07-17 10:04:29,861,Maheshtala
+918973214822,+917469306919,2026-07-30 16:20:01,874,Bhiwandi
+919927923735,+917469306919,2026-09-05 16:50:38,613,Panchkula
+917244295904,+918973214822,2026-06-01 12:59:58,415,Haridwar
+918338811290,+918652563013,2026-07-30 12:31:04,351,Kottayam
+917438989805,+917261810763,2026-04-14 05:54:28,658,Bhiwandi
+917244295904,+917261810763,2026-05-31 18:25:00,208,Maheshtala
+917965067727,+918985392498,2026-04-04 02:47:08,251,Bhiwandi
+918985392498,+918948728483,2026-06-14 08:35:53,212,Kottayam
+918049193572,+918985392498,2026-05-30 12:46:00,788,Bhiwandi
+918699226064,+918816803306,2026-09-06 17:08:39,485,Tumkur
+917429416213,+918196342297,2026-03-23 00:20:10,707,Tumkur
+917033599984,+919361388464,2026-05-23 16:07:20,894,Maheshtala
+918985392498,+918196342297,2026-06-05 23:15:14,79,Faridabad
+918196342297,+918034535593,2026-09-06 12:54:40,825,Haridwar
+917429416213,+917027911967,2026-08-20 04:18:20,370,Shimoga
+917438989805,+918034535593,2026-04-04 04:14:39,482,Faridabad
+917113971123,+917027911967,2026-07-20 04:37:55,387,Haridwar
+917438989805,+918973214822,2026-06-24 10:02:42,639,Tumkur
+917261810763,+919208283728,2026-09-11 12:26:34,483,Tumkur
+919427631155,+917113971123,2026-05-21 12:11:12,470,Tumkur
+919510777721,+919361388464,2026-05-28 17:03:57,629,Faridabad
+917261810763,+918985392498,2026-04-20 16:28:33,73,Faridabad
+919479708607,+918338811290,2026-04-08 08:08:29,741,Bhiwandi
+917261810763,+918699226064,2026-08-18 19:48:56,50,Hosur
+918196342297,+917244295904,2026-06-08 00:54:13,545,Tumkur
+918354860540,+917030884438,2026-07-16 00:16:06,391,Haridwar
+919208283728,+918521696479,2026-07-12 03:59:48,803,Maheshtala
+918049193572,+917027911967,2026-07-04 00:48:33,818,Maheshtala
+917438989805,+918338811290,2026-03-20 22:34:45,106,Shimoga
+919208283728,+917002456273,2026-08-07 15:33:40,268,Tumkur
+918985392498,+918338811290,2026-04-30 11:58:19,93,Tumkur
+918985392498,+917965067727,2026-04-09 00:37:49,327,Panchkula
+919878380452,+918049193572,2026-06-28 02:08:45,735,Bhiwandi
+918034535593,+919427631155,2026-03-29 13:34:07,395,Maheshtala
+919878380452,+917244295904,2026-08-03 16:46:47,105,Panchkula
+917261810763,+917030884438,2026-04-23 20:28:19,28,Maheshtala
+918034535593,+918699226064,2026-04-25 10:59:38,229,Maheshtala
+918816803306,+919510777721,2026-08-22 18:42:24,241,Kottayam
+918985392498,+917438989805,2026-05-16 00:16:18,312,Bhiwandi
+917261810763,+917514909066,2026-04-12 23:22:53,865,Shimoga
+917113971123,+918338811290,2026-08-28 09:46:53,794,Tumkur
+919878380452,+918049193572,2026-03-17 13:26:39,395,Kottayam
+918354860540,+918699226064,2026-08-20 17:15:15,861,Tumkur
+918354860540,+918196342297,2026-04-12 10:49:34,54,Panchkula
+917030884438,+919927923735,2026-04-09 18:27:04,464,Tumkur
+917002456273,+918196342297,2026-05-01 19:00:32,249,Shimoga
+919927923735,+918034535593,2026-04-17 21:24:16,838,Faridabad
+919510777721,+917030884438,2026-07-15 16:46:23,704,Tumkur
+918196342297,+917063384488,2026-03-21 17:57:09,797,Haridwar
+919208283728,+917261810763,2026-03-19 18:07:07,550,Panchkula
+918354860540,+919510777721,2026-08-08 05:32:07,830,Tumkur
+919878380452,+918948728483,2026-04-29 11:16:40,63,Faridabad
+917030884438,+919427631155,2026-05-15 03:17:51,115,Shimoga
+917433797840,+917002456273,2026-04-17 20:18:19,95,Kottayam
+919744267175,+918196342297,2026-03-26 14:33:22,535,Kottayam
+917469306919,+918973214822,2026-07-30 10:06:16,237,Faridabad
+917965067727,+917373399426,2026-06-21 01:31:49,434,Nizamabad
+919030106617,+917261810763,2026-07-31 03:23:42,392,Hosur
+919208283728,+918973214822,2026-06-11 23:12:33,393,Hosur
+917373399426,+919361388464,2026-08-06 01:06:41,111,Maheshtala
+918985392498,+919878380452,2026-06-18 17:15:06,49,Haridwar
+918722454917,+919878380452,2026-04-05 22:43:56,787,Faridabad
+918196342297,+917033599984,2026-06-17 00:04:43,15,Bhiwandi
+917373399426,+918948728483,2026-09-05 14:23:51,230,Kottayam
+919427631155,+918049193572,2026-03-24 22:58:58,550,Panchkula
+917433797840,+917002456273,2026-08-06 23:56:00,253,Haridwar
+917433797840,+917027911967,2026-08-22 06:48:57,254,Panchkula
+917033599984,+917063384488,2026-06-20 05:13:47,74,Bhiwandi
+918816803306,+918049193572,2026-06-08 15:28:09,558,Nizamabad
+917261810763,+917562117925,2026-09-08 23:55:14,257,Kottayam
+917002456273,+917469306919,2026-03-28 03:28:04,11,Tumkur
+917965067727,+919927923735,2026-06-12 11:11:38,594,Panchkula
+918699226064,+918973214822,2026-05-29 08:17:58,546,Maheshtala
+917438989805,+917244295904,2026-07-20 06:27:34,567,Shimoga
+917261810763,+919427631155,2026-06-14 12:38:10,30,Panchkula
+918722454917,+917113971123,2026-08-30 01:56:58,660,Panchkula
+917030884438,+918948728483,2026-03-30 10:56:52,775,Nizamabad
+917965067727,+917438989805,2026-03-31 18:55:27,363,Hosur
+919479708607,+917429416213,2026-07-06 01:39:28,762,Maheshtala
+919878380452,+917113971123,2026-03-29 00:44:34,370,Shimoga
+918338811290,+918699226064,2026-05-06 05:43:31,860,Faridabad
